Date,All,American Indian Or Alaska Native,Arab,Asian,Atheism Agnosticism,Bisexual,Black,Buddhist,Catholic,Church Of Jesus Christ,Eastern Orthodox Christian,Female,Gay,Gender Non Conforming,Hetrosexual,Hindu,Hispanic,Jehovahs Witness,Jewish,Lesbian,Male,Mental Disability,Muslim,Native Hawaiian Other Pacific Islander,Other Religion,Physical Disability,Protestant,Sikh,Transgender,White
2009-01,495,7,nan,13,nan,1,183,nan,8,nan,nan,nan,47,nan,2,nan,31,nan,76,14,nan,5,10,nan,8,2,4,nan,nan,28
2009-02,518,3,nan,12,nan,1,186,nan,5,nan,nan,nan,58,nan,1,nan,33,nan,54,10,nan,7,9,nan,5,nan,3,nan,nan,44
2009-03,589,5,nan,8,1,5,205,nan,1,nan,nan,nan,62,nan,nan,nan,58,nan,86,17,nan,3,6,nan,11,3,4,nan,nan,48
2009-04,566,4,nan,8,nan,3,198,nan,3,nan,nan,nan,48,nan,2,nan,43,nan,94,18,nan,6,7,nan,5,2,3,nan,nan,34
2009-05,638,6,nan,11,2,3,216,nan,5,nan,nan,nan,66,nan,3,nan,48,nan,92,13,nan,5,8,nan,13,3,4,nan,nan,58
2009-06,611,5,nan,14,2,2,224,nan,3,nan,nan,nan,66,nan,2,nan,54,nan,73,19,nan,5,4,nan,9,2,3,nan,nan,49
2009-07,586,10,nan,15,nan,1,211,nan,7,nan,nan,nan,52,nan,4,nan,50,nan,59,26,nan,6,12,nan,9,nan,3,nan,nan,51
2009-08,670,8,nan,14,1,2,243,nan,5,nan,nan,nan,72,nan,nan,nan,46,nan,82,23,nan,7,15,nan,11,4,2,nan,nan,67
2009-09,613,4,nan,9,nan,nan,226,nan,3,nan,nan,nan,62,nan,3,nan,43,nan,81,13,nan,10,9,nan,12,1,4,nan,nan,63
2009-10,651,10,nan,12,1,nan,223,nan,6,nan,nan,nan,76,nan,2,nan,49,nan,89,15,nan,7,9,nan,16,1,2,nan,nan,50
2009-11,525,3,nan,10,2,2,167,nan,1,nan,nan,nan,67,nan,2,nan,33,nan,95,13,nan,5,15,nan,5,4,5,nan,nan,31
2009-12,413,5,nan,6,1,4,129,nan,6,nan,nan,nan,39,nan,nan,nan,25,nan,68,11,nan,4,7,nan,8,2,3,nan,nan,38
2010-01,494,2,nan,20,nan,nan,138,nan,5,nan,nan,nan,60,nan,nan,nan,34,nan,72,11,nan,nan,9,nan,12,2,5,nan,nan,55
